Activity ID,date,year,time,name,type,Activity Description,elapsed_time,distance,Relative Effort,Commute,Activity Gear,Filename,day_computed
,Jul 24,,11:08:57 AM,,Run,,4878,7.18,,,,,206
,Jul 26,,10:59:41 AM,,Run,,1473,5.03,,,,,208
,Jul 29,,11:21:25 AM,,Run,,1611,3.65,,,,,211
,Jul 30,,10:56:17 AM,,Run,,1977,5.8,,,,,212
,Jul 31,,10:33:51 AM,,Run,,1652,4.83,,,,,213
,Aug 2,,10:52:29 AM,,Run,,1669,4.82,,,,,215
,Aug 4,,10:07:58 PM,,Run,,2317,4.89,,,,,217
,Aug 5,,10:32:23 AM,,Run,,1901,6.47,,,,,218
,Aug 7,,10:51:48 AM,,Run,,1421,5.03,,,,,220
,Aug 8,,10:32:11 AM,,Run,,1795,5.25,,,,,221
,Aug 9,,10:40:29 AM,,Run,,1620,4.98,,,,,222
,Aug 11,,11:24:47 AM,,Run,,3844,8.56,,,,,224
,Aug 13,,11:21:24 AM,,Run,,3123,6.57,,,,,226
,Aug 14,,11:22:27 AM,,Run,,1443,5.15,,,,,227
,Aug 15,,10:38:31 AM,,Run,,1819,4.85,,,,,228
,Aug 17,,12:31:21 PM,,Run,,4425,9.87,,,,,230
,Aug 19,,10:55:01 AM,,Run,,1426,4.84,,,,,232
,Aug 20,,9:45:34 PM,,Run,,3727,9.1,,,,,233
,Aug 22,,10:25:09 AM,,Run,,1538,4.82,,,,,235
,Aug 23,,6:09:42 AM,,Run,,1236,4.05,,,,,236
,Aug 26,,10:38:10 AM,,Run,,1452,4.85,,,,,239
,Aug 27,,10:19:58 PM,,Run,,6207,12.4,,,,,240
,Aug 30,,11:00:26 AM,,Run,,2580,8.04,,,,,243
,Sep 3,,10:48:11 PM,,Run,,5342,11.04,,,,,247
,Sep 5,,12:39:16 PM,,Run,,1779,4.15,,,,,249
,Sep 7,,12:51:44 PM,,Run,,1375,4.22,,,,,251
,Sep 11,,11:32:22 AM,,Run,,1611,4.96,,,,,255
